assembly_sample	read_sample
Bjorsmossen_1_site3_10cm_2024-06_iMG	Bjorsmossen_1_site3_10cm_2024-06_iMG
Bjorsmossen_1_site3_10cm_2024-06_iMG	Bjorsmossen_2_site3_30cm_2024-06_iMG
Bjorsmossen_1_site3_10cm_2024-06_iMG	Bjorsmossen_3_site3_60cm_2024-06_iMG
Bjorsmossen_1_site3_10cm_2024-06_iMG	NorraRomyren_1_site3_10cm_2024-06_iMG
Bjorsmossen_1_site3_10cm_2024-06_iMG	Lungsmossen_1_site3_10cm_2024-06_iMG
Bjorsmossen_2_site3_30cm_2024-06_iMG	Bjorsmossen_2_site3_30cm_2024-06_iMG
Bjorsmossen_2_site3_30cm_2024-06_iMG	Bjorsmossen_1_site3_10cm_2024-06_iMG
Bjorsmossen_2_site3_30cm_2024-06_iMG	Bjorsmossen_3_site3_60cm_2024-06_iMG
Bjorsmossen_2_site3_30cm_2024-06_iMG	NorraRomyren_2_site3_30cm_2024-06_iMG
Bjorsmossen_2_site3_30cm_2024-06_iMG	Lungsmossen_2_site3_30cm_2024-06_iMG
Bjorsmossen_3_site3_60cm_2024-06_iMG	Bjorsmossen_2_site3_30cm_2024-06_iMG
Bjorsmossen_3_site3_60cm_2024-06_iMG	Bjorsmossen_1_site3_10cm_2024-06_iMG
Bjorsmossen_3_site3_60cm_2024-06_iMG	Bjorsmossen_3_site3_60cm_2024-06_iMG
Bjorsmossen_3_site3_60cm_2024-06_iMG	NorraRomyren_3_site3_60cm_2024-06_iMG
Bjorsmossen_3_site3_60cm_2024-06_iMG	Lungsmossen_3_site3_60cm_2024-06_iMG
Bjorsmossen_4_0-25cm_2024-06_iMG	Bjorsmossen_4_0-25cm_2024-06_iMG
Bjorsmossen_4_0-25cm_2024-06_iMG	Havsjomossen_1_0-25cm_2024-06_iMG
Bjorsmossen_4_0-25cm_2024-06_iMG	NorraRomyren_4_0-25cm_2024-06_iMG
Bjorsmossen_4_0-25cm_2024-06_iMG	Lungsmossen_4_0-25cm_2024-06_iMG
